标题：penny说“he's shorter than me” 吓得我一紧。。。 	 链接：http://tieba.baidu.com/p/5073606946 	 发帖人：变不回王... 	 最后回复时间：3-8 	 回复数量：11 
标题：居然看到了一个熟悉的面孔 	 链接：http://tieba.baidu.com/p/5560111185 	 发帖人：爱笑的deaths 	 最后回复时间：3-8 	 回复数量：15 
标题：刚刚回顾第六季 注意到个小细节 	 链接：http://tieba.baidu.com/p/5050368056 	 发帖人：LTODD 	 最后回复时间：3-8 	 回复数量：14 
标题：开个科普贴，本人在印度（农村）生活过8个月，有什么想问的 	 链接：http://tieba.baidu.com/p/1491364062 	 发帖人：黑色诱惑1... 	 最后回复时间：3-8 	 回复数量：29982 
标题：Bazinga！ 	 链接：http://tieba.baidu.com/p/5485048112 	 发帖人：十圣殿骑... 	 最后回复时间：3-8 	 回复数量：13 
标题：哪位小可爱有这张照片啊，我现在找不到了 	 链接：http://tieba.baidu.com/p/5582794980 	 发帖人：ohaomao 	 最后回复时间：3-8 	 回复数量：11 
标题：【吧规+导航】《TBBT吧》删帖封禁标准，不看被删/封别找吧务 	 链接：http://tieba.baidu.com/p/3070074029 	 发帖人：将轨 	 最后回复时间：3-7 	 回复数量：49 
标题：请问生活大爆炸中有哪些关于诺贝尔的梗，希望大家告知，并告诉我 	 链接：http://tieba.baidu.com/p/5582441650 	 发帖人：royal问路 	 最后回复时间：3-7 	 回复数量：0 
标题：【TBBT】S11E16节目预告 	 链接：http://tieba.baidu.com/p/5546685424 	 发帖人：玺子 	 最后回复时间：3-7 	 回复数量：2 
标题：刚刚看第八季~有人觉得佩妮短发很难看么？ 	 链接：http://tieba.baidu.com/p/3532609421 	 发帖人：天阳草 	 最后回复时间：3-7 	 回复数量：69 
标题：为什么谢尔顿那么讨厌莱纳得还和他住在一起？ 	 链接：http://tieba.baidu.com/p/5017387510 	 发帖人：絮灵儿 	 最后回复时间：3-7 	 回复数量：33 
标题：话说最近在重温第二季，有个问题想请教大家 	 链接：http://tieba.baidu.com/p/4978767419 	 发帖人：heyOKC 	 最后回复时间：3-7 	 回复数量：49 
标题：为啥谢耳朵妈妈是教徒还那么种族歧视？ 	 链接：http://tieba.baidu.com/p/4885648176 	 发帖人：铁马秋风... 	 最后回复时间：3-7 	 回复数量：74 
标题：为什么《生活大爆炸》第十一季第十六集不更新？？？ 	 链接：http://tieba.baidu.com/p/5572204786 	 发帖人：123呵呵哈哈22 	 最后回复时间：3-7 	 回复数量：2 
标题：【TBBT】生活大爆炸吧2018吧务招募贴 	 链接：http://tieba.baidu.com/p/5545392306 	 发帖人：玺子 	 最后回复时间：3-6 	 回复数量：20 
标题：有没有人看过everybody hates chris？ 	 链接：http://tieba.baidu.com/p/2229629421 	 发帖人：残阳的小猪 	 最后回复时间：3-6 	 回复数量：1 
标题：S11E14这个女的看着很眼熟，还演过哪部美剧？ 	 链接：http://tieba.baidu.com/p/5522636649 	 发帖人：死吖 	 最后回复时间：3-5 	 回复数量：17 
标题：深藏不露！拉杰什居然是生活大爆炸中隐藏的富二代！ 	 链接：http://tieba.baidu.com/p/5380778905 	 发帖人：沐K拉哇 	 最后回复时间：3-5 	 回复数量：21 
标题：【吧务】TBBT吧资源网盘 	 链接：http://tieba.baidu.com/p/1989079065 	 发帖人：墙角茕茇 	 最后回复时间：3-5 	 回复数量：392 
标题：大家说说生活大爆炸里面3对情侣谁更幸福！ 	 链接：http://tieba.baidu.com/p/4915583005 	 发帖人：尚丶Sir 	 最后回复时间：3-5 	 回复数量：9 
标题：生活大爆炸片头，每帧画面知识大扫盲 	 链接：http://tieba.baidu.com/p/1081149546 	 发帖人：安妮霍尔_ 	 最后回复时间：3-4 	 回复数量：2663 
标题：最触动我的是，看着看着也对有现在做的事了热爱，也更喜欢现在的 	 链接：http://tieba.baidu.com/p/5576361052 	 发帖人：一枚老司机e 	 最后回复时间：3-4 	 回复数量：1 
标题：一起来涨姿势吧，生活大爆炸每一集知识详解 	 链接：http://tieba.baidu.com/p/4664329650 	 发帖人：幽寒淡冷 	 最后回复时间：3-4 	 回复数量：1310 
标题：有个梗没理解，求解 	 链接：http://tieba.baidu.com/p/4965603561 	 发帖人：快乐的小... 	 最后回复时间：3-3 	 回复数量：12 
标题：谢尔顿的发型叫什么名字？ 	 链接：http://tieba.baidu.com/p/5572634964 	 发帖人：凌宸极 	 最后回复时间：3-3 	 回复数量：7 
标题：小小滴分享一下~近200张动态图片和自制tbbt素材 	 链接：http://tieba.baidu.com/p/1255514296 	 发帖人：墙角茕茇 	 最后回复时间：3-3 	 回复数量：2208 
标题：这是哪一集？amy给猴子做海洛因实验，扔大便朝她。 	 链接：http://tieba.baidu.com/p/5575499995 	 发帖人：寒秋after 	 最后回复时间：3-3 	 回复数量：0 
标题：我念念不忘的ALEX怎么就再也不出现了呢 	 链接：http://tieba.baidu.com/p/5017808366 	 发帖人：夜色小路L... 	 最后回复时间：3-3 	 回复数量：19 
标题：分享：自用分享麦吉丽素颜三部曲，有用的小伙伴一起谈谈感受 	 链接：http://tieba.baidu.com/p/5574852539 	 发帖人：AnnaZhyanyang 	 最后回复时间：3-3 	 回复数量：1 
标题：【少年谢尔顿】反思录 	 链接：http://tieba.baidu.com/p/5560673195 	 发帖人：玺子 	 最后回复时间：3-3 	 回复数量：4 
标题：《生活大爆炸》漫画！大爱《生活大爆炸》，特别是谢耳朵，终于有 	 链接：http://tieba.baidu.com/p/5565953656 	 发帖人：谢尔顿... 	 最后回复时间：3-3 	 回复数量：37 
标题：想不通为什么有人不喜欢谢尔顿，难道是我不正常吗？ 	 链接：http://tieba.baidu.com/p/906070056 	 发帖人：0.0.0.* 	 最后回复时间：3-2 	 回复数量：37 
标题：艾米的加入是大爆炸的败笔 	 链接：http://tieba.baidu.com/p/5123543120 	 发帖人：小嶋阳菜... 	 最后回复时间：3-2 	 回复数量：435 
标题：图解《生活大爆炸》 	 链接：http://tieba.baidu.com/p/4701782158 	 发帖人：流云飞扬go 	 最后回复时间：3-2 	 回复数量：2231 
标题：求片尾曲吉他谱>_< 	 链接：http://tieba.baidu.com/p/4592470004 	 发帖人：糖糖果果熙 	 最后回复时间：3-2 	 回复数量：6 
标题：Emily的衣柜里到底有啥！ 	 链接：http://tieba.baidu.com/p/3622498359 	 发帖人：雪若文_ 	 最后回复时间：3-2 	 回复数量：51 
标题：本来在Joey里看到Howard我就很诧异了，结果S2E17 	 链接：http://tieba.baidu.com/p/5416350668 	 发帖人：Joanna 	 最后回复时间：3-2 	 回复数量：46 
标题：wow 生活大爆炸晚上开播 	 链接：http://tieba.baidu.com/p/3310130848 	 发帖人：g35981 	 最后回复时间：3-2 	 回复数量：30 
标题：谢尔顿为intel拍的两个广告，好可爱 	 链接：http://tieba.baidu.com/p/3425366189 	 发帖人：narutoxiuzi 	 最后回复时间：3-2 	 回复数量：12 
标题：又一位客串生活大爆炸的巨星离世了 亚当·韦斯特 第一任蝙蝠侠 	 链接：http://tieba.baidu.com/p/5195532177 	 发帖人：一堆轮子 	 最后回复时间：3-2 	 回复数量：0 
标题：大家看这集伯纳黛特在偷看台词啊 	 链接：http://tieba.baidu.com/p/5283211803 	 发帖人：未若人间... 	 最后回复时间：3-2 	 回复数量：3 
标题：生活大爆炸居然就这样完结了！！！ 	 链接：http://tieba.baidu.com/p/5115173657 	 发帖人：酒曲白黎 	 最后回复时间：3-1 	 回复数量：52 
标题：剧里那些可爱的字幕 	 链接：http://tieba.baidu.com/p/4355462532 	 发帖人：蚊子54321 	 最后回复时间：3-1 	 回复数量：42 
标题：【TBBT】S09E24熟肉+集中讨论帖(S09季终) 	 链接：http://tieba.baidu.com/p/4544926749 	 发帖人：将轨 	 最后回复时间：3-1 	 回复数量：310 
标题：找个笔友   不见面的那种…不聊微信不聊扣扣的那种 	 链接：http://tieba.baidu.com/p/5548893747 	 发帖人：梨梨梨啊 	 最后回复时间：3-1 	 回复数量：45 
标题：Amy和Bert结婚了→_→ 	 链接：http://tieba.baidu.com/p/2811383716 	 发帖人：若清思竹 	 最后回复时间：3-1 	 回复数量：3 
标题：s11e09里面霍华德他妈妈的配音是怎么来的 	 链接：http://tieba.baidu.com/p/5553074590 	 发帖人：两仪 	 最后回复时间：3-1 	 回复数量：7 
标题：喜欢的盆友进，这碗狗粮我干了* 	 链接：http://tieba.baidu.com/p/5360361842 	 发帖人：9mmjmo 	 最后回复时间：3-1 	 回复数量：10 
标题：生活大爆炸第六季第19集中，谁说的是霍沃德父亲的信 	 链接：http://tieba.baidu.com/p/5489916969 	 发帖人：航行永远 	 最后回复时间：2-28 	 回复数量：5 
标题：谢耳朵和Amy第一次接吻是哪集啊 	 链接：http://tieba.baidu.com/p/5570935531 	 发帖人：玛丽有只 	 最后回复时间：2-28 	 回复数量：2 
标题：这是第几季第几集啊让我先笑会儿 	 链接：http://tieba.baidu.com/p/5569256381 	 发帖人：Holy 	 最后回复时间：2-28 	 回复数量：4 
标题：生活大爆炸5E10    看我发现了什么！！ 	 链接：http://tieba.baidu.com/p/5261628688 	 发帖人：超级忐忐... 	 最后回复时间：2-28 	 回复数量：1 
标题：生活大爆炸第十季11集看哭了 	 链接：http://tieba.baidu.com/p/4902827203 	 发帖人：pc826 	 最后回复时间：2-28 	 回复数量：45 
标题：讨论帖 raj的几个女朋友你喜欢谁 	 链接：http://tieba.baidu.com/p/4966911202 	 发帖人：A溺于深海 	 最后回复时间：2-28 	 回复数量：171 
标题：希望我能把一天的好运气都给你！！！ 	 链接：http://tieba.baidu.com/p/5570035755 	 发帖人：jgsajj 	 最后回复时间：2-28 	 回复数量：0 
标题：不知道大伙有没有这种疑问，剧中演员的片酬是多少，一年中工作小 	 链接：http://tieba.baidu.com/p/5566579158 	 发帖人：紫荆星竹 	 最后回复时间：2-27 	 回复数量：2 
标题：谢耳朵结婚了 	 链接：http://tieba.baidu.com/p/5118732401 	 发帖人：初难追 	 最后回复时间：2-27 	 回复数量：48 
标题：Howard父亲的信，Bernadette说的才是真的，你怎么看？ 	 链接：http://tieba.baidu.com/p/2227788459 	 发帖人：Season_of_笔 	 最后回复时间：2-27 	 回复数量：45 
标题：前两周没有更新吗？ 	 链接：http://tieba.baidu.com/p/5565164541 	 发帖人：优雅先生M 	 最后回复时间：2-27 	 回复数量：1 
标题：十一季16集怎么这么久都不更新？有大神知道什么时候会更吗？ 	 链接：http://tieba.baidu.com/p/5557168017 	 发帖人：流下颠倒 	 最后回复时间：2-27 	 回复数量：13 
标题：总觉得伯纳黛特和霍华德更像夫妻 	 链接：http://tieba.baidu.com/p/5139544180 	 发帖人：二楼sabi 	 最后回复时间：2-27 	 回复数量：11 
标题：分享：有想要了解瘦身产品《一代女皇》可以扫二维码加下方微信 	 链接：http://tieba.baidu.com/p/5568191231 	 发帖人：眉俏那片情 	 最后回复时间：2-27 	 回复数量：0 
标题：科恩纳石英石水槽怎么样，一千多价格的水槽质量真的可以吗？ 	 链接：http://tieba.baidu.com/p/5534198854 	 发帖人：哀伤的歌... 	 最后回复时间：2-26 	 回复数量：4 
标题：卡罗德立式钢琴C2怎么样，音质真的很一般吗？ 	 链接：http://tieba.baidu.com/p/5547623685 	 发帖人：落幕的希... 	 最后回复时间：2-26 	 回复数量：4 
标题：谢耳朵吃的麦片为什么没有卖的… 	 链接：http://tieba.baidu.com/p/5567625813 	 发帖人：loveswetty 	 最后回复时间：2-26 	 回复数量：0 
标题：哈哈哈哈哈哈哈哈伯纳黛特的那个孩子 	 链接：http://tieba.baidu.com/p/4917358579 	 发帖人：D白恋 	 最后回复时间：2-26 	 回复数量：0 
标题：#生活大爆炸#这可以做情头了有木有！！ 	 链接：http://tieba.baidu.com/p/5361196737 	 发帖人：JC教主公... 	 最后回复时间：2-26 	 回复数量：0 
标题：奥克斯 HX-PB835破壁机怎么样，可有说的那么靠谱 	 链接：http://tieba.baidu.com/p/5562313655 	 发帖人：逝去的人流 	 最后回复时间：2-26 	 回复数量：3 
标题：求助 	 链接：http://tieba.baidu.com/p/5123475971 	 发帖人：罹晟睿 	 最后回复时间：2-26 	 回复数量：4 
标题：看看吧！为爱情公寓洗地的是如何发言 	 链接：http://tieba.baidu.com/p/5554755132 	 发帖人：轩辕一叶 	 最后回复时间：2-26 	 回复数量：11 
标题：【生活大爆炸大神进来回答一下！】 	 链接：http://tieba.baidu.com/p/5563992850 	 发帖人：前排带我... 	 最后回复时间：2-26 	 回复数量：1 
标题：谢尔顿用的电子琴是什么牌子的 	 链接：http://tieba.baidu.com/p/5563605326 	 发帖人：大胖萌 	 最后回复时间：2-26 	 回复数量：0 
标题：有木有觉得镇楼图很惊悚 	 链接：http://tieba.baidu.com/p/5556264058 	 发帖人：二代青雉 	 最后回复时间：2-26 	 回复数量：3 
标题：问下生活大爆炸的演员在演戏的时候旁边有很多观众吗？那么多笑声？ 	 链接：http://tieba.baidu.com/p/908908462 	 发帖人：0.0.0.* 	 最后回复时间：2-25 	 回复数量：24 
标题：有你们陪伴这个假期很开心😊 	 链接：http://tieba.baidu.com/p/5359320345?fid=1441624 	 发帖人：校长借个... 	 最后回复时间：2-25 	 回复数量：2 
标题：把前女友聚在一起的拉杰 	 链接：http://tieba.baidu.com/p/5288565004 	 发帖人：中国式半仙 	 最后回复时间：2-24 	 回复数量：1 
标题：大爆炸里一些演员的年龄和身高 	 链接：http://tieba.baidu.com/p/3222691277 	 发帖人：鬽saiki 	 最后回复时间：2-24 	 回复数量：92 
标题：关于第六季第18集的疑问 	 链接：http://tieba.baidu.com/p/4974174349 	 发帖人：zyy1998429 	 最后回复时间：2-24 	 回复数量：24 
标题：还是Bernadette好看啊 	 链接：http://tieba.baidu.com/p/5540798561 	 发帖人：艾玛沃... 	 最后回复时间：2-23 	 回复数量：3 
标题：求助啊。逼死强迫症了！！霍华德和伯妮黛特是怎么认识的？？？ 	 链接：http://tieba.baidu.com/p/5155487856 	 发帖人：凤姐来吓人 	 最后回复时间：2-23 	 回复数量：5 
标题：有个第三季第三集的客串简直太酷了，求哪位大神科普 	 链接：http://tieba.baidu.com/p/5104880496 	 发帖人：lkkkkkkk6 	 最后回复时间：2-23 	 回复数量：3 
标题：关于TBBT S6E19有关于Howard父亲的信的内容的分析 	 链接：http://tieba.baidu.com/p/3962197339 	 发帖人：壮哉我吸... 	 最后回复时间：2-23 	 回复数量：14 
标题：关于Harvard父亲的信哪一版本才是真的 	 链接：http://tieba.baidu.com/p/2221514052 	 发帖人：宴锦安 	 最后回复时间：2-23 	 回复数量：86 
标题：才知道，生活大爆炸的笑声是现场观众，真的好羡慕他们 	 链接：http://tieba.baidu.com/p/5561966344 	 发帖人：在花果山... 	 最后回复时间：2-23 	 回复数量：1 
标题：通知 关于s11e16的更新时间 	 链接：http://tieba.baidu.com/p/5546596679 	 发帖人：rrvip01 	 最后回复时间：2-23 	 回复数量：7 
标题：【求助】哪一集外星人说谢尔顿粉粉的很好吃？ 	 链接：http://tieba.baidu.com/p/5561321251 	 发帖人：烨礼服 	 最后回复时间：2-23 	 回复数量：5 
标题：求该图出处 	 链接：http://tieba.baidu.com/p/5561924976 	 发帖人：1967 	 最后回复时间：2-23 	 回复数量：0 
